,0
497,0.7000000000000001
498,0.0
499,0.0
500,0.0
501,-0.125
502,0.42291666666666666
503,0.0
504,0.3806818181818182
505,0.022222222222222237
506,0.0
507,0.39999999999999997
508,0.0
509,0.0
510,0.0
511,-0.2
512,0.0
513,0.0
514,0.0
515,0.05
516,0.0
517,0.41818181818181815
518,-0.8
519,-0.08333333333333333
520,0.0
521,0.0
522,0.25
523,0.0
524,0.0
525,0.1875
526,0.5
527,0.0
528,0.10000000000000002
529,0.65
530,0.0
531,0.0
532,0.13636363636363635
533,-0.3
534,0.2857142857142857
535,0.375
536,0.0
537,-0.15714285714285714
538,0.13636363636363635
539,0.0
540,0.0
541,0.0
542,0.0
543,0.11111111111111112
544,0.1
545,0.0
546,0.0
547,0.0
548,-0.15
549,0.0
550,0.0
551,-0.4
552,0.0
553,0.0
554,0.0
555,-0.30714285714285716
556,0.0
557,-0.4
558,0.0
559,0.35
560,0.2
561,1.0
562,0.5
563,1.0
564,0.0
565,0.625
566,0.41666666666666674
567,0.1
568,0.0
569,0.0
570,0.0
571,0.0
572,-0.5
573,0.0
574,0.0
575,0.0
576,0.1875
577,0.0
578,0.21428571428571427
579,-0.012499999999999997
580,0.0
581,0.33809523809523817
582,-0.6999999999999998
583,0.0
584,0.2
585,0.0
586,0.0
587,0.2
588,-0.025
589,0.5
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.5388888888888889
596,0.0
597,0.0
598,0.0
599,0.18522727272727274
600,0.8
601,0.2
602,0.1778409090909091
603,0.03333333333333333
604,0.0
605,0.0
606,0.28484848484848485
607,0.0
608,0.0
609,-0.4
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.8
617,0.0
618,-0.16666666666666666
619,0.0
620,0.15
621,0.5
622,0.0
623,0.0
624,-0.4
625,0.0
626,0.0
627,0.2
628,0.0
629,0.35714285714285715
630,0.0
631,0.0
632,0.0
633,0.0
634,0.45
635,0.3
636,0.0
637,-0.17500000000000002
638,0.0
639,-0.16666666666666666
640,0.0
641,-0.325
642,-0.75
643,0.0
644,0.7
645,0.0
646,0.0
647,0.0
648,0.0
649,-0.5
650,0.0
651,0.4681818181818182
652,0.0
653,0.0
654,0.0
655,0.625
656,-0.10416666666666667
657,0.0
658,0.0
659,-0.16666666666666666
660,0.0
661,0.0
662,0.0
663,0.0
664,0.13636363636363635
665,0.25
666,0.0
667,0.0
668,1.0
669,-0.4
670,-0.4
671,0.475
672,0.0
673,-0.35
674,0.0
675,-0.1910714285714286
676,0.5
677,0.0
678,0.4
679,0.5
680,0.25
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.02777777777777778
687,0.125
688,0.13636363636363635
689,0.14285714285714285
690,0.0
691,0.13636363636363635
692,0.0
693,0.2
694,0.5
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.25
703,0.0
704,0.0
705,-0.1875
706,0.0
707,-0.2
708,0.0
709,0.5
710,0.3
711,0.0
712,0.0
713,-0.025
714,0.0
715,0.0
716,-0.15
717,0.85
718,0.35
719,0.0
720,-0.3333333333333333
721,-0.55
722,0.5625
723,0.25
724,0.0
725,0.5
726,0.0
727,0.1
728,0.0
729,0.2
730,0.0
731,0.0
732,0.4
733,0.30000000000000004
734,0.0
735,0.0
736,-0.125
737,0.0
