,0
268,0.0
269,0.13636363636363635
270,0.0
271,-0.5
272,0.4583333333333333
273,-0.4
274,0.6
275,0.0
276,1.0
277,0.0
278,0.0
279,-0.08333333333333333
280,0.0
281,0.0
282,0.08333333333333333
283,0.05000000000000002
284,0.0
285,0.13636363636363635
286,0.3333333333333333
287,0.0
288,0.0
289,0.0
290,-0.125
291,0.0
292,0.0
293,-0.17499999999999996
294,-0.75
295,0.0
296,-0.06666666666666667
297,-0.1
298,-0.1
299,0.6
300,0.3125
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,-0.4
308,0.0
309,0.5
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.4041666666666666
316,0.0
317,0.45
318,0.09523809523809523
319,0.0
320,0.0
321,0.625
322,-0.25625
323,-0.4
324,0.5
325,0.09999999999999998
326,0.0
327,0.0
328,0.0
329,0.13636363636363635
330,0.0
331,1.0
332,-0.1027777777777778
333,0.0
334,0.0
335,-0.6
336,0.5
337,0.0
338,0.0
339,0.0
340,0.8
341,0.0
342,0.0
343,0.016666666666666635
344,0.0
345,0.0
346,0.0
347,0.3666666666666667
348,0.0
349,0.2
350,0.625
351,0.0
352,0.0
353,0.35
354,0.0
355,0.7
356,0.6
357,0.0
358,0.0
359,0.0
360,0.0
361,-0.2
362,-0.2
363,0.0
364,0.0
365,0.0
366,0.625
367,0.15916666666666668
368,0.0
369,0.0
370,0.34375
371,0.0
372,0.0
373,-0.5
374,0.0
375,0.0
376,0.0
377,0.1
378,0.0
379,-0.5
380,0.5
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.5
387,0.75
388,0.2
389,0.85
390,0.0
391,0.525
392,0.0
393,0.0
394,0.5
395,0.25
396,0.0
397,0.0
398,-0.1
399,0.2
400,0.05
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.25
407,0.0
408,0.0
409,-0.1
410,0.0
411,0.25
412,0.2
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.2
419,0.0
420,-0.2
421,0.08893939393939393
422,0.8
423,0.0
424,-0.15625
425,-0.012500000000000011
426,0.0
427,0.2
428,1.0
429,0.35714285714285715
430,0.0
431,-0.2
432,0.2
433,-0.25
434,0.0
435,0.30833333333333335
436,-0.375
437,0.0
438,0.0
439,-0.30000000000000004
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.225
450,0.325
451,0.0
452,0.0
453,0.5
454,0.9
455,-0.09999999999999992
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,-0.04999999999999999
462,1.0
463,0.0
464,0.0
465,0.0
466,0.375
467,0.0
468,0.0
469,0.0
470,0.0
471,-0.78125
472,0.0
473,0.0
474,0.13636363636363635
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,-0.5
481,0.0
482,1.0
483,0.13636363636363635
484,0.0
485,0.0
486,0.0
487,0.0
488,0.5
489,0.1
490,0.0
491,0.2857142857142857
492,-0.6
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,-0.6
500,0.0
501,-0.07142857142857142
502,0.0
503,0.0
504,0.0
505,-0.4
506,0.0
507,0.4000000000000001
508,-0.4
509,0.0
510,0.0
511,0.0
512,-0.1392857142857143
513,-0.15
514,0.0
515,0.0
516,0.5681818181818181
517,0.0
518,0.4166666666666667
519,0.13636363636363635
520,0.7
521,0.6
522,-0.1
523,0.3571428571428571
524,0.6
525,0.0
526,0.5
527,0.0
528,0.0
529,-0.1
530,0.0
531,0.125
532,0.5
533,0.0
534,0.0
535,0.0
536,0.13636363636363635
537,0.13636363636363635
538,1.0
539,0.25
540,0.0
541,0.0
542,0.0
543,0.0
544,1.0
545,1.0
546,0.13636363636363635
547,0.8
548,0.0
549,0.06818181818181818
550,0.45
551,-0.041666666666666664
552,0.0
553,0.0
554,0.24015151515151514
555,0.0
556,0.0
557,1.0
558,0.0
559,0.25
560,0.05357142857142856
561,-0.6
562,0.0
563,-0.4
564,0.0
565,0.0
566,0.0
567,0.0
568,0.5681818181818181
569,0.0
570,0.4
571,0.07142857142857142
572,0.0
573,0.0
574,0.0
575,0.0
576,0.3333333333333333
577,0.0
578,0.0
579,0.04999999999999999
580,-0.8
581,0.5
582,0.7166666666666667
583,0.0
584,0.0
585,0.0
586,0.5
587,0.0
588,0.0
589,0.20000000000000004
590,0.0
591,0.05952380952380952
592,-0.3
593,0.0
594,-0.3875
595,0.0
596,0.0
597,0.0
598,0.3125
599,0.9765625
600,0.0
601,0.0
