borough,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,"TYPE(1:res,2:com,3:mix)",grid_x,grid_y
1,479,5677,32214,1920,11000000,3,448,517
1,479,5677,32214,1920,11000000,3,448,517
1,480,1792,14931,1900,15200000,3,446,519
1,480,11362,33639,1922,55000000,3,446,519
1,480,1792,14931,1900,15200000,3,446,519
1,480,11362,33639,1922,55000000,3,446,519
1,483,5852,28829,1900,140000000,3,441,521
1,483,5852,28829,1900,140000000,3,441,521
1,488,1011,1011,1900,4400000,3,436,526
1,488,1011,1011,1900,4400000,3,436,526
1,489,4000,15918,1900,21055000,3,433,526
1,489,4000,15918,1900,21055000,3,433,526
1,490,2286,72703,2014,12933334,3,434,528
1,490,2286,72703,2014,12933334,3,434,528
1,491,2113,8470,1900,7100000,3,431,527
1,491,2113,8470,1900,7100000,3,431,527
1,492,2500,4888,1900,13000000,3,451,522
1,492,2500,4888,1900,13000000,3,451,522
1,493,2470,7987,1900,13750000,3,449,523
1,493,2470,7987,1900,13750000,3,449,523
1,496,1927,7690,1920,14500000,3,445,523
1,496,1927,7690,1920,14500000,3,445,523
1,507,1100,3168,1920,12302140,3,451,524
1,507,1100,3168,1920,12302140,3,451,524
1,508,1805,7670,1914,7000000,3,450,526
1,508,1828,5312,1910,7250000,3,450,526
1,508,1805,7670,1914,7000000,3,450,526
1,508,1828,5312,1910,7250000,3,450,526
1,510,3850,16388,1915,8742500,3,447,525
1,510,3850,16388,1915,8742500,3,447,525
1,513,4600,18120,1920,93000000,3,442,528
1,513,4600,18120,1920,93000000,3,442,528
1,520,2352,5298,1920,10250000,3,433,535
1,520,1937,5240,1920,9850000,3,433,535
1,520,2352,5298,1920,10250000,3,433,535
1,520,1937,5240,1920,9850000,3,433,535
1,525,1350,5807,1900,9999999,3,439,534
1,525,2500,13150,1900,15500000,3,439,534
1,525,1350,5807,1900,9999999,3,439,534
1,525,2500,13150,1900,15500000,3,439,534
1,526,2002,3556,1899,12500000,3,438,536
1,526,2002,3556,1899,12500000,3,438,536
1,527,1750,3480,1900,6800000,3,434,538
1,527,1750,3480,1900,6800000,3,434,538
1,530,2675,7363,1915,10800000,3,453,531
1,530,2675,7363,1915,10800000,3,453,531
1,552,2150,4404,1900,21650000,3,441,544
1,552,2138,8395,1900,20650000,3,441,544
1,552,2150,4404,1900,21650000,3,441,544
1,552,2138,8395,1900,20650000,3,441,544
1,555,2270,13230,1910,3781000,3,457,541
1,555,2270,13230,1910,3781000,3,457,541
1,556,10344,117012,1900,72200000,3,458,543
1,556,10344,117012,1900,75400000,3,458,543
1,556,13354,41770,1900,52100000,3,458,543
1,556,1852,5003,1901,9300000,3,458,543
1,556,7742,54328,1900,32250000,3,458,543
1,556,10344,117012,1900,72200000,3,458,543
1,556,10344,117012,1900,75400000,3,458,543
1,556,13354,41770,1900,52100000,3,458,543
1,556,1852,5003,1901,9300000,3,458,543
1,556,7742,54328,1900,32250000,3,458,543
1,557,11330,124630,1962,35000000,3,456,543
1,557,11330,124630,1962,35000000,3,456,543
1,558,7167,12875,1900,16900000,3,460,544
1,558,7167,12875,1900,16900000,3,460,544
1,562,19575,97500,1940,101000100,3,452,545
1,562,19575,97500,1940,101000100,3,452,545
1,563,8175,114000,1900,109000000,3,453,547
