borough,block,longitude,latitude
QN,13267,-73.7786330051,40.6660809917
QN,15593,-73.7413768557,40.5993297422
BK,8796,-73.9381210605,40.5846884734
QN,2934,-73.8813012308,40.7233139723
QN,5623,-73.7906191656,40.7480300213
QN,4748,-73.8040000712,40.7815887866
QN,10243,-73.782481351,40.7021507714
QN,12452,-73.7632721375,40.6864617209
QN,1108,-73.8721196779,40.7659365824
QN,2325,-73.9012466417,40.7405240344
QN,3617,-73.8954345177,40.7083920536
QN,2894,-73.8797416134,40.7309652772
QN,4896,-73.8020345704,40.7688095523
BK,1305,-73.9517347993,40.6650187784
BK,6525,-73.9740115756,40.6225284798
BK,5132,-73.9568104312,40.6452602446
MN,1545,-73.9529660698,40.7755088764
BK,5449,-73.981986401,40.6293674541
MN,723,-74.0003097973,40.7481533179
MN,1680,-73.9404407229,40.7922310641
MN,1385,-73.964773712,40.7702001945
BX,5021,-73.8423596443,40.8941546838
BX,4717,-73.8485966792,40.8804393556
BX,4377,-73.8494305937,40.8594538464
BK,4207,-73.8626061664,40.6782903709
BK,4662,-73.9241164621,40.6543463273
BK,5459,-73.9840881334,40.6287421929
MN,1197,-73.9710279561,40.7838791335
BK,1245,-73.9561765967,40.6727096477
BK,1610,-73.9361472947,40.6909732509
BK,1402,-73.9333004801,40.6675862963
BK,6303,-74.0099859656,40.615307228
BX,4988,-73.8379176795,40.8937879947
BK,1309,-73.9492190966,40.6644130826
BK,1653,-73.9235533598,40.6865463863
BK,5473,-73.9843326023,40.6274985913
BK,6754,-73.9574784425,40.6139951114
BK,6644,-73.9848440216,40.6043179204
BK,6126,-74.0337051168,40.6154797315
BK,5474,-73.980794854,40.6250016584
BK,5030,-73.9524450841,40.6607994968
BK,1474,-73.9189851045,40.6691369352
BK,1785,-73.9474237664,40.6907104488
BK,2182,-73.9617333919,40.7053627182
BK,2130,-73.966546849,40.7100746778
BK,3157,-73.9306251032,40.7016667087
BK,3516,-73.9155255494,40.6675161458
BK,2569,-73.9568854519,40.7279885391
BK,1662,-73.9266598109,40.6845704853
BX,2994,-73.8890710445,40.8307058646
BK,291,-73.9954598355,40.6894444124
BK,1235,-73.9447209583,40.673357955
BX,2628,-73.9086057487,40.817906098
BX,2293,-73.9154340296,40.8149863524
BK,956,-73.9792258917,40.6758311595
BK,1159,-73.9681848754,40.677428114
BK,992,-73.9883067977,40.6722736456
BK,2624,-73.9486328192,40.7278847639
BX,3204,-73.9008668618,40.8647338012
BK,1281,-73.953859679,40.6681604598
BX,4946,-73.8327645858,40.8883462243
BK,3326,-73.9150512797,40.6984320849
BK,6731,-73.9633107736,40.6177404777
BK,7104,-73.9701911538,40.5978463778
BK,6666,-73.9629846162,40.6053441916
BX,3715,-73.8770477282,40.82564275
BX,3468,-73.8623979419,40.8122656876
BK,4884,-73.9489352508,40.6495598546
BK,5462,-73.9777206005,40.6249744996
BX,3819,-73.8478833931,40.8313219961
BX,2868,-73.9127821284,40.852429898
BK,5536,-73.9803648976,40.6159035303
BK,5365,-73.9799294192,40.6365847493
SI,5741,-74.1830770077,40.5601675183
BK,2291,-73.9537850925,40.7196291128
SI,6967,-74.2101681391,40.5362117444
MN,236,-73.9976941105,40.7193610036
BX,4660,-73.8624418604,40.8783915871
SI,1232,-74.1584561219,40.6288408403
SI,2397,-74.1581638565,40.5858823664
SI,5268,-74.159460427,40.540364538
MN,837,-73.9852018076,40.7503153303
BX,4535,-73.8407766012,40.8673199524
QN,13509,-73.7484960295,40.6636106056
QN,11633,-73.812341186,40.6824450868
QN,12369,-73.7753498007,40.6840903977
SI,794,-74.1450708688,40.6053154628
BX,3385,-73.8637804402,40.8988708814
SI,2162,-74.1773567471,40.6005473772
SI,3640,-74.1111625175,40.574530684
MN,196,-74.0019711029,40.718569741
QN,11281,-73.7400250707,40.6994488994
QN,15690,-73.7709631717,40.6128930843
SI,6919,-74.2055795324,40.5349196664
BX,5006,-73.851638019,40.8950498634
BX,4330,-73.8577171194,40.854542496
SI,7316,-74.223220708,40.5366202733
SI,2973,-74.0723597571,40.6123257812
MN,2224,-73.925027898,40.8645551359
MN,1127,-73.9762520332,40.7788106722
BK,297,-73.9947477871,40.6884564173
BK,1357,-73.9223234674,40.6740215482
BK,2015,-73.9600630593,40.6816001434
QN,11366,-73.8496700493,40.6740141697
SI,6247,-74.1796434504,40.5366563202
MN,1165,-73.9826865768,40.7807076806
BK,952,-73.9804623221,40.6766063627
BK,377,-74.0001083582,40.6773179725
QN,11723,-73.8218806632,40.6744662458
QN,11705,-73.8249979672,40.6763612475
QN,16254,-73.8517622425,40.578887216
SI,3272,-74.0713556602,40.5959490526
MN,2174,-73.9283119114,40.8608978726
MN,912,-73.9782464942,40.7440230143
MN,792,-73.9957721338,40.7391104104
MN,1211,-73.9755389187,40.7836134574
BX,5099,-73.8415397176,40.9009440532
SI,6287,-74.1863632661,40.542073387
MN,1124,-73.9776214871,40.7764454198
BK,1004,-73.987411942,40.6704903768
QN,12717,-73.7554536864,40.6811805967
SI,5628,-74.1699114591,40.5447693536
BX,3253,-73.9027734263,40.8721930539
QN,14085,-73.83902782,40.6489950887
SI,561,-74.0823263004,40.6200628043
SI,5092,-74.1356768414,40.5537285455
SI,6020,-74.1987051305,40.5573630828
BX,3685,-73.8494672256,40.8244396893
