type[com/res/mix],borough,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,# of bus_stop,# of subway_station,# of FELONY,# of VIOLATION,# of MISDEMEANOR,total # of poi,poi type 1,poi type 2,poi type 3,poi type 4,poi type 5,poi type 6,poi type 7,poi type 8,poi type 9,poi type 10,poi type 11,poi type 12,poi type 13,# of roads,total width of raods
1,1,1788,3512,1910,10100000,29,4,1522,357,1640,114,15,27,27,26,3,6,3,0,3,0,4,0,0,259,8848
0,1,6225,72000,1900,40000000,21,3,1677,362,2222,118,24,22,28,16,4,3,3,0,2,0,13,3,0,280,9691
2,1,1607,2920,1910,3230000,23,3,1509,305,1995,120,26,24,28,17,3,3,3,1,3,0,9,3,0,278,9603
1,1,1289,4482,1899,7750000,28,2,1211,287,1756,127,21,24,41,17,3,5,2,0,4,1,8,1,0,275,9249
1,1,1289,4482,1899,7675000,28,2,1211,287,1756,127,21,24,41,17,3,5,2,0,4,1,8,1,0,275,9249
0,1,2766,14166,1920,17000000,30,1,1158,301,1552,103,19,21,28,10,3,4,1,0,6,1,8,1,1,265,8907
2,1,2452,5760,1920,28000000,5,1,828,155,950,99,20,20,15,19,6,6,5,0,2,3,3,0,0,240,8079
1,1,2043,5400,1901,16000000,11,2,1371,246,1913,94,17,17,13,19,7,6,6,0,2,3,4,0,0,254,8456
1,1,1839,6165,1910,8950000,9,2,1112,212,1708,93,20,19,13,13,5,4,8,0,2,4,5,0,0,243,7945
1,1,1839,5130,1925,14386848,6,1,1072,200,1728,84,20,15,11,9,5,4,7,0,3,6,4,0,0,240,7981
1,1,2554,9000,1920,27000500,5,1,1026,192,1678,80,18,15,10,9,6,4,6,0,3,5,4,0,0,237,7845
1,1,2164,6254,1901,10600000,7,1,888,258,1330,90,15,22,8,6,5,5,9,0,3,7,8,2,0,243,8341
1,1,1644,3684,1901,6600000,7,1,888,258,1330,90,15,22,8,6,5,5,9,0,3,7,8,2,0,243,8341
1,1,1611,5739,1920,13000000,10,1,963,286,1453,93,16,23,8,6,5,5,10,0,3,7,8,2,0,246,8470
2,1,1584,3750,1899,7100000,19,3,1663,311,2162,90,14,14,19,20,4,6,6,0,1,1,5,0,0,283,9624
0,1,3021,10800,1927,24500000,7,2,1469,296,2160,74,15,16,10,6,3,4,8,0,1,7,3,1,0,265,9058
0,1,2573,4284,1910,9975000,5,3,1393,266,2097,72,14,15,9,6,3,4,8,0,2,7,3,1,0,264,8991
1,1,1258,3672,1899,4300000,14,4,1675,357,2557,71,14,17,6,4,3,3,9,0,4,7,3,1,0,270,9254
2,1,1429,5720,1920,10500000,17,4,1708,442,2784,87,21,23,7,3,5,3,9,0,6,7,1,2,0,268,9022
1,1,2525,4000,1899,10324000,17,4,1745,507,2942,90,23,20,8,5,6,3,8,0,6,7,2,2,0,277,9386
1,1,1258,1992,1910,4200000,17,4,1745,507,2942,90,23,20,8,5,6,3,8,0,6,7,2,2,0,277,9386
1,1,2013,4160,1899,8250000,20,3,1790,612,3241,112,24,28,7,8,7,4,12,0,9,8,3,2,0,294,9872
0,1,2575,10946,1915,18200000,23,3,2000,415,2646,58,10,15,4,11,3,2,5,0,1,3,3,1,0,270,9067
1,1,2043,3296,1901,4600000,28,2,1839,420,2503,52,9,11,7,7,4,1,5,0,4,3,1,0,0,260,8855
0,1,12825,12750,1960,93000000,24,2,1890,466,2660,58,11,13,5,8,4,1,6,0,5,3,1,1,0,267,9022
0,1,5035,11218,1900,15000000,24,2,1833,488,2724,65,16,13,5,7,2,0,10,0,6,4,1,1,0,258,8640
1,1,5035,9570,1931,11100000,1,0,0,20,3,1634,467,2554,62,16,10,4,7,2,1,11,0,7,3,259,8793
1,1,1601,3000,1899,1355989,0,1,0,26,2,1614,361,2143,47,11,11,7,5,2,1,4,0,5,0,276,9406
0,1,1279,5855,1920,6450000,31,0,1127,279,1234,48,8,11,8,6,3,3,0,1,3,3,2,0,0,255,8604
1,1,998,3507,1890,6500000,0,1,0,19,1,725,178,760,34,5,9,7,5,0,1,1,0,5,0,211,7116
2,1,4037,13845,1913,20000000,19,3,1409,597,2727,113,21,27,10,6,6,5,11,0,11,5,8,3,0,277,9367
1,1,1162,3392,1890,2250000,26,3,1984,983,4444,153,33,35,17,11,6,8,13,0,11,5,11,2,1,270,9261
0,1,5046,3800,1920,4300000,22,3,2963,1524,7330,188,35,26,33,16,4,5,17,0,17,9,18,3,5,246,8400
2,1,2018,2676,1900,1400000,17,2,2767,1338,6902,144,33,18,30,11,3,3,12,0,6,4,16,3,5,259,8759
0,1,2125,2125,1920,2300000,27,2,2559,1224,6523,175,34,33,27,12,6,4,6,1,34,1,14,0,3,262,8914
2,1,6950,5390,1951,2750000,12,1,2185,904,5813,119,17,19,23,11,4,3,6,0,14,1,17,3,1,246,8234
2,1,5046,7144,1948,4300000,14,2,2700,1278,7318,155,25,24,29,13,5,4,15,1,10,4,15,4,6,270,9154
